wage,exper,union,service,educ,looks,sex,race,status,health
5.73,30,no,no,14,4,female,white,married,good
4.28,28,no,no,12,3,female,white,married,good
7.96,35,no,no,10,4,female,white,single,good
11.57,38,no,no,16,3,male,white,married,good
11.42,27,no,no,16,3,male,white,married,good
3.91,20,no,no,12,3,female,white,married,bad
8.76,12,no,no,16,3,male,white,married,good
7.69,5,no,no,16,4,male,white,single,good
5.0,5,no,no,16,3,female,white,single,good
3.89,12,no,no,12,3,female,white,single,good
3.45,3,no,no,12,4,female,white,single,good
4.03,6,no,no,16,4,male,white,married,good
5.14,19,no,no,17,2,male,white,married,good
3.0,8,no,no,16,3,male,white,single,good
7.99,12,no,no,16,4,male,white,married,good
6.01,17,no,no,16,4,male,white,married,good
5.16,7,no,no,17,3,male,white,married,good
11.54,12,no,no,17,4,male,white,married,good
10.44,10,no,no,17,4,female,white,single,good
7.69,7,no,no,16,3,female,white,married,good
7.69,7,no,no,17,4,male,white,single,good
6.79,19,no,no,14,3,male,white,married,good
6.87,33,no,no,12,3,male,white,married,good
17.03,32,no,no,13,3,male,white,married,good
10.05,12,no,no,13,4,male,white,married,good
15.81,24,no,no,17,4,male,white,married,good
14.84,29,no,no,13,5,male,white,single,good
19.08,17,no,no,17,5,male,white,single,good
8.35,41,no,no,16,1,male,white,married,bad
9.62,40,no,no,16,3,male,white,married,bad
5.96,10,no,no,14,3,male,white,married,good
5.73,43,no,no,10,3,male,white,married,bad
6.73,41,no,no,10,4,male,white,married,good
8.17,18,no,no,16,2,male,white,married,good
12.39,28,no,no,12,4,male,white,married,good
9.62,37,no,no,13,2,male,white,married,good
4.83,20,no,no,16,4,male,black,married,good
7.69,10,no,no,13,2,male,white,married,good
12.5,31,no,no,16,3,male,white,married,good
2.82,18,no,no,12,3,male,white,married,good
12.31,9,no,no,17,3,male,white,single,good
13.22,42,no,no,16,3,male,white,married,good
16.83,14,no,no,16,4,male,white,married,good
11.54,27,no,no,16,3,male,white,married,good
4.95,20,no,no,14,3,female,black,single,good
7.21,14,no,no,17,3,male,white,married,good
11.58,4,no,no,17,3,male,white,married,good
15.38,13,no,no,17,3,male,white,married,good
6.1,5,no,no,17,3,male,white,married,good
7.93,32,no,no,17,3,male,white,married,good
9.16,19,no,no,17,4,female,white,married,good
6.91,14,no,no,17,4,female,white,single,good
20.18,28,no,no,17,3,male,white,married,good
9.93,31,no,no,17,3,male,white,married,good
7.79,18,no,no,13,4,male,white,married,good
5.13,23,no,no,5,3,male,white,married,good
10.99,14,no,no,16,4,male,white,married,good
6.56,17,no,no,13,2,male,white,married,good
10.1,16,no,no,13,3,male,white,married,good
10.74,19,no,no,16,3,male,white,married,good
16.35,26,no,no,17,3,male,white,married,good
4.62,20,no,no,12,4,female,white,married,good
7.49,18,no,no,17,3,male,white,married,good
19.23,35,no,no,17,3,male,white,married,good
4.77,9,no,no,17,4,female,white,single,good
7.14,20,no,no,17,2,female,white,single,good
14.42,7,no,no,17,4,male,white,married,good
9.28,40,no,no,17,4,male,white,single,good
29.98,12,no,no,17,3,male,white,married,good
32.79,33,no,no,16,4,male,white,married,good
9.62,16,no,no,16,3,male,white,married,good
8.36,15,no,no,16,3,female,white,married,good
21.63,11,no,no,17,3,male,white,married,good
15.9,24,no,no,17,4,male,white,married,good
5.77,6,no,no,17,2,male,white,married,good
20.99,40,no,no,17,2,male,white,married,good
23.32,15,no,no,17,5,male,white,married,good
4.97,9,no,no,17,4,male,white,married,good
6.89,16,no,no,17,2,male,white,married,good
5.73,12,no,no,13,2,female,white,single,good
5.19,8,no,no,17,3,male,white,married,good
7.79,25,no,no,17,3,female,white,single,good
8.79,24,no,no,16,3,female,white,married,good
9.32,25,no,no,17,4,female,white,single,good
8.33,7,no,no,17,4,female,white,single,good
10.12,40,no,no,10,3,female,black,single,good
1.98,29,no,no,8,3,female,white,single,bad
8.24,13,no,no,17,4,female,white,married,good
5.05,5,no,no,14,4,female,white,single,good
6.55,10,no,no,16,3,female,white,married,good
4.47,25,no,no,13,3,male,white,married,good
7.96,10,no,no,16,3,female,white,married,good
6.25,20,no,no,17,2,male,white,single,good
4.13,7,no,no,16,3,male,white,single,good
6.73,25,no,no,13,2,female,white,married,good
7.69,8,no,no,17,3,female,white,single,good
4.35,8,no,no,14,2,female,white,married,good
7.69,28,no,no,14,3,male,white,married,good
4.81,37,no,no,16,2,male,white,married,good
5.24,31,no,no,17,3,male,white,married,good
2.14,24,no,no,16,4,male,white,married,good
4.49,33,no,no,17,4,male,white,married,good
3.61,8,no,no,17,4,male,white,married,good
5.45,33,no,no,17,3,male,white,married,good
5.0,30,no,no,17,3,male,white,married,good
6.73,23,no,no,17,3,male,white,married,good
10.05,24,no,no,16,3,male,white,married,good
6.54,4,no,no,17,4,male,white,married,good
9.2,40,no,no,17,3,female,white,single,good
4.62,1,no,no,16,3,female,white,single,good
3.37,36,no,no,13,3,female,black,single,good
5.54,7,no,no,17,4,female,white,single,good
6.11,7,no,no,12,5,female,white,married,good
4.99,14,no,no,13,3,female,white,single,good
5.88,7,no,no,17,3,female,white,married,good
5.66,11,no,no,16,4,female,white,single,good
4.0,6,no,no,16,3,male,white,married,good
6.87,23,no,no,16,3,female,white,married,good
4.37,19,no,no,17,2,female,white,single,good
5.77,30,no,no,13,3,male,white,married,good
5.77,21,no,no,17,4,male,white,married,good
12.31,9,no,no,17,4,male,white,married,good
19.08,29,no,no,17,3,male,white,married,good
7.55,9,no,no,17,3,female,white,single,good
5.9,18,no,no,17,4,female,white,single,good
6.37,26,no,no,17,3,female,white,single,good
6.15,21,no,no,17,4,male,white,married,good
1.92,12,no,no,17,2,female,white,married,good
3.27,11,no,no,17,3,male,white,single,good
2.18,18,no,no,17,4,male,white,single,good
5.62,22,no,no,17,3,male,white,married,good
9.29,38,no,no,17,4,female,white,single,good
6.41,10,no,no,17,3,female,white,married,good
7.46,22,no,no,16,3,female,white,married,good
