,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0,1,39353,85475,117961,118300,123472,117905,117906,290919,117908
1,1,17183,1540,117961,118343,123125,118536,118536,308574,118539
2,1,36724,14457,118219,118220,117884,117879,267952,19721,117880
3,1,36135,5396,117961,118343,119993,118321,240983,290919,118322
4,1,42680,5905,117929,117930,119569,119323,123932,19793,119325
5,0,45333,14561,117951,117952,118008,118568,118568,19721,118570
6,1,25993,17227,117961,118343,123476,118980,301534,118295,118982
7,1,19666,4209,117961,117969,118910,126820,269034,118638,126822
8,1,31246,783,117961,118413,120584,128230,302830,4673,128231
9,1,78766,56683,118079,118080,117878,117879,304519,19721,117880
10,1,4675,3005,117961,118413,118481,118784,117906,290919,118786
11,1,15030,94005,117902,118041,119238,119093,138522,119095,119096
12,1,79954,46608,118315,118463,122636,120773,123148,118960,120774
13,1,4675,50997,91261,118026,118202,119962,168365,118205,119964
14,1,95836,18181,117961,118343,118514,118321,117906,290919,118322
15,1,19484,6657,118219,118220,118221,117885,117886,117887,117888
16,1,114267,23136,117961,118052,119742,118321,117906,290919,118322
17,1,35197,57715,117961,118446,118701,118702,118703,118704,118705
18,1,86316,7002,117961,118343,123125,118278,132715,290919,118279
19,1,27785,5636,117961,118413,122007,118321,117906,290919,118322
20,1,37427,5220,117961,118300,118458,120006,303717,118424,120008
21,1,15672,111936,117961,118300,118783,117905,240983,290919,117908
22,1,92885,744,117961,118300,119181,118777,279443,308574,118779
23,1,1020,85475,117961,118300,120410,118321,117906,290919,118322
24,1,4675,7551,117961,118052,118867,118259,117906,290919,118261
25,1,41334,28253,118315,118463,123089,118259,128796,290919,118261
26,1,77385,14829,117961,118052,119986,117905,117906,290919,117908
27,1,20273,11506,118216,118587,118846,179731,128361,117887,117973
28,1,78098,46556,118090,118091,117884,118568,165015,19721,118570
29,1,79328,4219,117961,118300,120312,120313,144958,118424,120315
30,1,23921,4953,117961,118343,119598,120344,310997,118424,120346
31,1,34687,815,117961,118300,123719,117905,117906,290919,117908
32,1,43452,169112,117902,118041,119781,118563,121024,270488,118565
33,1,33248,4929,117961,118300,118825,118826,226343,118424,118828
34,1,78282,7445,117961,118343,122299,118054,121350,117887,118055
35,1,17183,794,118752,119070,117945,280788,152940,292795,119082
36,1,38658,1912,119134,119135,118042,120097,174445,270488,120099
37,1,14354,50368,117926,118266,117884,118568,281735,19721,118570
38,1,45019,1080,117961,118327,118378,120952,120953,118453,120954
39,1,13878,1541,117961,118225,123173,120812,123174,118638,120814
40,1,14570,46805,117929,117930,117920,118568,281735,19721,118570
41,0,74310,49521,117961,118300,118301,119849,235245,118638,119851
42,1,6977,1398,117961,118300,120722,118784,130735,290919,118786
43,1,31613,5899,117961,118327,120318,118777,296252,308574,118779
44,1,1020,21127,117961,118052,119408,118777,279443,308574,118779
45,1,32270,3887,117961,118343,120347,120348,265969,118295,120350
46,1,19629,19645,117961,118413,118481,118784,240983,290919,118786
47,1,15702,1938,117961,118300,118066,120560,304465,118643,120562
48,1,113037,5396,117961,118343,119993,120773,118959,118960,120774
49,1,20279,17695,117890,117891,117878,117879,117879,19721,117880
50,1,80746,16690,117961,118446,119064,122022,131302,119221,122024
51,1,80263,36145,117961,118052,120304,307024,311622,118331,118332
52,1,73753,70062,117961,118386,118746,117905,117906,290919,117908
53,1,39883,7551,117961,118052,118867,117905,172635,290919,117908
54,1,25993,7023,117961,117962,119223,118259,118260,290919,118261
55,0,78106,50613,117916,118150,118810,118568,159905,19721,118570
56,1,33150,1915,117961,118300,119181,118784,117906,290919,118786
57,1,34817,5899,117961,118327,120318,118641,240982,118643,118644
58,1,28354,3860,117961,118446,120317,118321,117906,290919,118322
59,1,33642,13196,117951,117952,117941,117879,117897,19721,117880
60,1,26430,56310,118212,118580,117895,117896,117913,117887,117898
61,1,28149,50120,91261,118026,119507,118321,117906,290919,118322
62,1,40867,6736,117961,117969,6725,122290,268766,6725,122292
63,1,20293,273476,117926,118266,117920,118568,310732,19721,118570
